;Stopkode;Pos.nr.;Kode til stoppunkt;Short name;Længdegrad;Breddegrad;Long name;GPS-radius;Oprettet;UTM32_Easting;UTM32_Northing
1;11000050;2;110000502;HOUF;10,25780728;55,91224930;Hou Havn (færge);50;13/05/2024;578621;6197028
2;50300503;2;503005032;KIRKLYRE;8,18029284;55,86783282;Kirkevej v Lyreskovskolen;50;05/07/2022;448702;6191673
3;50300503;9;503005039;KIRKLYRE;9,36913405;54,84118532;Kirkevej v Lyreskovskolen;100;05/07/2022;523706;6077181
4;50900125;1;509001251;SKAMBANK;9,56223472;55,41911370;Skamlingsbankens Rasteplads (Kolding);100;05/07/2022;535589;6141575
5;53100012;1;531000121;Havneby1;8,56438407;55,08637584;Havneby, Østre Havnevej v Havnepladsen (Rømø);100;05/07/2022;472194;6104489
6;55192250;1;551922501;Lufthvn;9,14691455;55,74654092;Billund Lufthavn / Billund Airport (bus);100;05/07/2022;509222;6177880
7;55192250;2;551922502;Lufthvn;9,14755711;55,74656628;Billund Lufthavn / Billund Airport (bus);100;05/07/2022;509262;6177883
8;55192250;3;551922503;Lufthvn;9,14773481;55,74657208;Billund Lufthavn / Billund Airport (bus);100;05/07/2022;509274;6177884
9;55192250;4;551922504;Lufthvn;9,14786100;55,74657570;Billund Lufthavn / Billund Airport (bus);100;05/07/2022;509282;6177884
10;55192250;5;551922505;Lufthvn;9,14798076;55,74658005;Billund Lufthavn / Billund Airport (bus);100;05/07/2022;509289;6177885
11;55192250;6;551922506;Lufthvn;9,14811596;55,74658368;Billund Lufthavn / Billund Airport (bus);100;05/07/2022;509298;6177885
12;55192250;7;551922507;Lufthvn;9,14824860;55,74658585;Billund Lufthavn / Billund Airport (bus);100;05/07/2022;509306;6177885
13;55192250;8;551922508;Lufthvn;8,50605328;55,90293727;Billund Lufthavn / Billund Airport (bus);100;05/07/2022;469116;6195387
14;55330010;1;553300101;NØRRE N;8,29061399;55,77729400;Nørre Nebel St. (bus);50;05/07/2022;455503;6181521
15;55330010;2;553300102;NØRRE N;8,29067899;55,77728099;Nørre Nebel St. (bus);50;05/07/2022;455507;6181519
16;55330050;1;553300501;Bredga1;8,28332699;55,78038000;Bredgade v Toften (Nørre Nebel);50;05/07/2022;455049;6181869
17;55330050;2;553300502;Bredga1;8,28307000;55,78029000;Bredgade v Toften (Nørre Nebel);50;05/07/2022;455033;6181859
18;55332050;1;553320501;RINGKØ2;8,49330499;55,75203000;Ringkøbingvej/Neder Hallumvej;50;05/07/2022;468196;6178598
19;55332050;2;553320502;RINGKØ2;8,49352199;55,75251900;Ringkøbingvej/Neder Hallumvej;50;05/07/2022;468210;6178652
20;55332050;3;553320503;RINGKØ2;8,49293284;55,75227648;Ringkøbingvej/Neder Hallumvej;50;05/07/2022;468173;6178625
21;55332060;9;553320609;HALLUMG;8,47640385;55,74758897;Hallumgade/Kvong;50;05/07/2022;467132;6178111
22;55332070;9;553320709;HALLUM;8,46418970;55,75350878;Hallum/Kvong;50;05/07/2022;466370;6178776
23;55332200;9;553322009;KVONG V;8,44121130;55,75669916;Kvong/Neder Hallumvej;50;05/07/2022;464931;6179142
24;55332990;0;553329900;LUNDE 1;8,36412530;55,75619986;Lunde St (tog);50;05/07/2022;460092;6179128
25;55332990;1;553329901;LUNDE 1;8,36412532;55,75619987;Lunde St (tog);50;05/07/2022;460092;6179128
26;56590010;1;565900101;GDRteSt;8,93191604;55,75858825;Grindsted Rutebilstation;50;05/07/2022;495727;6179213
27;56590010;2;565900102;GDRteSt;8,93180986;55,75870690;Grindsted Rutebilstation;50;05/07/2022;495720;6179226
28;56590010;3;565900103;GDRteSt;8,93173209;55,75881293;Grindsted Rutebilstation;50;05/07/2022;495715;6179238
29;56590010;4;565900104;GDRteSt;8,93163397;55,75891983;Grindsted Rutebilstation;50;05/07/2022;495709;6179250
30;56590010;5;565900105;GDRteSt;8,93153617;55,75902920;Grindsted Rutebilstation;50;05/07/2022;495703;6179262
31;56590010;6;565900106;GDRteSt;8,93143896;55,75912934;Grindsted Rutebilstation;50;05/07/2022;495697;6179273
32;56590010;7;565900107;GDRteSt;8,93136119;55,75922695;Grindsted Rutebilstation;50;05/07/2022;495692;6179284
33;56590010;8;565900108;GDRteSt;8,93128193;55,75932288;Grindsted Rutebilstation;50;05/07/2022;495687;6179295
34;56590040;1;565900401;Vester8;8,92648399;55,75374500;Vesterbrogade (Grindsted);50;05/07/2022;495385;6178675
35;56590040;2;565900402;Vester8;8,92674299;55,75400000;Vesterbrogade (Grindsted);50;05/07/2022;495402;6178703
36;56590070;1;565900701;VEJLE L;8,94484300;55,75546200;Ribersvej v Dalsøvej (Grindsted);50;05/07/2022;496538;6178865
37;56590070;2;565900702;VEJLE L;8,94513299;55,75576599;Ribersvej v Dalsøvej (Grindsted);50;05/07/2022;496556;6178898
38;56590070;3;565900703;VEJLE L;8,94486388;55,75447354;Ribersvej v Dalsøvej (Grindsted);50;05/07/2022;496539;6178755
39;56590090;9;565900909;Tingve1;8,96587799;55,76534012;Tingvejen v Mellemvej (Grindsted);50;05/07/2022;497859;6179963
40;56590110;1;565901101;Tnghsgd;8,92112406;55,75317433;Tinghusgade (Grindsted);100;05/07/2022;495049;6178611
41;56590110;2;565901102;Tnghsgd;8,92193237;55,75290648;Tinghusgade (Grindsted);50;05/07/2022;495100;6178582
42;56590210;1;565902101;ØSTERG3;8,93134400;55,75900800;Østergade v Vandkranen (Grindsted);50;05/07/2022;495691;6179260
43;56590210;2;565902102;ØSTERG3;8,93064999;55,75999600;Østergade v Vandkranen (Grindsted);50;05/07/2022;495648;6179370
44;56590820;1;565908201;GRINDS3;8,92488699;55,75878999;Grindsted, Vestre Allé v Vestergade;50;05/07/2022;495286;6179236
45;56590840;1;565908401;TEKNISK;8,94100100;55,76084400;Grindsted, Tårnvej 135 v skolen;50;05/07/2022;496297;6179464
46;56590840;2;565908402;TEKNISK;8,94102299;55,76101300;Grindsted, Tårnvej 135 v skolen;50;05/07/2022;496299;6179483
47;56590841;1;565908411;Tårnvej;8,93296799;55,76213800;Tårnvej v Chr Lundgaardsvej (Grindsted);50;05/07/2022;495793;6179608
48;56590841;2;565908412;Tårnvej;8,93135800;55,76192500;Tårnvej v Chr Lundgaardsvej (Grindsted);50;05/07/2022;495692;6179585
49;56590842;1;565908421;Tårnve1;8,94422800;55,75820700;Tårnvej v Industrivej (Grindsted);50;05/07/2022;496499;6179170
50;56594010;1;565940101;FILSKOV;9,02822999;55,81256999;Filskov, Stationsvej;50;05/07/2022;501769;6185219
51;56594010;2;565940102;FILSKOV;9,02815299;55,81240900;Filskov, Stationsvej;50;05/07/2022;501764;6185201
52;56595010;1;565950101;Sønder2;8,89217818;55,84041541;Sønder Omme/Stadion Allé;50;05/07/2022;493247;6188323
53;56595010;2;565950102;Sønder2;8,89218900;55,84036200;Sønder Omme/Stadion Allé;50;05/07/2022;493248;6188317
54;56595011;1;565950111;Sønde26;8,89731798;55,83862400;Sønder Omme, Rahbæksvej;50;05/07/2022;493569;6188123
55;56595011;2;565950112;Sønde26;8,89806499;55,83938600;Sønder Omme, Rahbæksvej;50;05/07/2022;493616;6188208
56;56595020;9;565950209;HERNIN1;8,88778991;55,84686569;Sønder Omme, Herningvej v Stakrogevej;50;05/07/2022;492974;6189042
57;56595021;1;565950211;Sønde30;8,88686699;55,84235000;Sønder Omme, Herningvej v Farvergade;50;05/07/2022;492915;6188539
58;56595021;2;565950212;Sønde30;8,88681017;55,84291364;Sønder Omme, Herningvej v Farvergade;50;05/07/2022;492911;6188602
59;56595030;1;565950301;Sønde11;8,89575299;55,83770400;Sønder Omme, Grindstedvej v åen;50;05/07/2022;493471;6188021
60;56595030;2;565950302;Sønde11;8,89598299;55,83770400;Sønder Omme, Grindstedvej v åen;50;05/07/2022;493485;6188021
61;56595031;1;565950311;Sønde29;8,89665034;55,83338310;Sønder Omme, Grindstedvej v Skovvang;50;05/07/2022;493526;6187540
62;56595031;2;565950312;Sønde29;8,89678099;55,83342400;Sønder Omme, Grindstedvej v Skovvang;50;05/07/2022;493534;6187545
63;56595130;9;565951309;SIMMELB;8,91370619;55,80887190;Simmelbrovej v Vilhelmsmindevej;50;05/07/2022;494591;6184811
64;57380990;0;573809900;VARDE 3;8,48434728;55,61604640;Varde St (tog);100;05/07/2022;467521;6163468
65;57380990;1;573809901;VARDE 3;8,48434730;55,61604641;Varde St (tog);100;05/07/2022;467521;6163468
66;57380990;2;573809902;VARDE 3;8,48434732;55,61604642;Varde St (tog);100;05/07/2022;467521;6163468
67;57382010;1;573820101;HORNE.;8,53239900;55,72327699;Horne, Højvangen (Varde);100;05/07/2022;470628;6175380
68;57382010;2;573820102;HORNE.;8,53256599;55,72326100;Horne, Højvangen (Varde);50;05/07/2022;470639;6175378
69;57382050;9;573820509;HindsNdrH;8,51011717;55,72390500;Hindsigvej/Ndr Hindsigvej;50;05/07/2022;469229;6175460
70;57382200;1;573822001;HORNE S;8,53147899;55,72530000;Horne Skole;50;05/07/2022;470572;6175606
71;57382200;2;573822002;HORNE S;8,53170999;55,72537999;Horne Skole;50;05/07/2022;470587;6175615
72;57382990;0;573829900;SIG ST;8,57712479;55,66573153;Sig St (tog);50;05/07/2022;473399;6168958
73;57382990;1;573829901;SIG ST;8,57712481;55,66573154;Sig St (tog);50;05/07/2022;473399;6168958
74;57382990;2;573829902;SIG ST;8,57712482;55,66573155;Sig St (tog);50;05/07/2022;473399;6168958
